-5	-4	13	-9	16	35	1	19	292,69
-5	4	13	-9	20	52	-1	3	316,65
-5	0	13	7	27	52	-2	11	90,38
-5	4	14	-12	21	28	1	3	272,93
-5	3	14	-12	27	46	-1	5	104,23
-5	1	14	-11	22	36	1	9	263,67
-5	-2	14	5	1	29	-2	15	275,19
-5	2	15	-10	24	27	0	7	150,02
-5	2	15	1	27	40	-3	7	70,88
-5	-4	15	2	7	49	-3	19	101,15
-5	-1	15	8	31	50	1	13	65,21
-5	1	15	13	20	49	1	9	321,63
-5	4	16	-3	11	34	0	3	69,45
-5	-3	16	-2	35	40	-2	17	125,36
-5	-1	16	2	15	31	-3	13	232,61
-5	0	16	15	16	36	-1	11	287,33
-5	3	17	-9	31	35	-2	5	-3,97
-5	-4	17	-8	11	39	-2	19	110,61
-5	1	17	5	-2	25	-3	9	372,06
-5	-1	17	7	30	36	-3	13	21,33
-5	4	18	1	29	48	1	3	36,51
-5	-5	18	9	33	38	-3	21	65,47
-5	0	18	10	36	39	-3	11	161,88
-5	4	19	-1	21	31	-1	3	278,46
-5	1	19	1	22	51	-1	9	282,46
-5	3	19	2	16	42	-2	5	232,51
-5	4	20	-11	35	30	-1	3	111,43
-5	4	20	-3	12	39	-3	3	111,36
-5	-5	20	-1	31	32	-2	21	14,29
-5	-4	20	12	20	31	-3	19	301,57
-5	2	21	-8	16	24	-1	7	254,02
-5	-1	21	-5	27	44	1	13	98,33
-5	3	21	-4	22	39	-2	5	229,65
-5	0	21	5	35	50	-2	11	123,4
-5	0	22	-1	6	45	1	11	100,28
-5	-3	23	-10	0	28	-1	17	334,8
-5	-4	24	-10	30	51	1	19	55,32
-5	-2	24	-1	18	29	-2	15	272,49
-5	4	25	-8	19	53	1	3	288,67
-5	2	25	-7	24	42	-3	7	169,74
-5	3	25	12	29	24	1	5	-4,18
-5	0	25	14	16	39	0	11	227,97
-5	1	26	-6	18	36	1	9	295,15
-5	-3	26	4	29	43	1	17	39,73
-5	2	26	4	-2	49	-2	7	329,66
-5	-3	27	-4	39	47	-1	17	303,54
-5	-5	28	-6	25	33	-3	21	134,74
-5	4	28	-2	13	42	-3	3	124,75
-5	-1	29	-10	-2	26	-1	13	366,24
-5	1	29	15	3	43	-2	9	150,56
-5	-3	29	16	17	42	1	17	281,95
-5	-4	30	-9	1	52	1	19	280,29
-5	-1	30	1	34	41	-1	13	85,28
-5	0	30	1	26	26	1	11	79,7
-5	-3	30	7	5	24	1	17	106,14
-5	-1	31	-9	28	24	1	13	11,13
-5	-3	31	-9	14	42	-1	17	202,21
-5	-2	32	-10	-1	42	-3	15	317,07
-5	4	32	12	13	39	0	3	96,09
-5	-3	33	-8	22	44	0	17	223,27
-5	0	33	-2	5	46	0	11	62,89
-5	-4	33	12	9	50	1	19	66,63
-5	4	33	13	4	46	-1	3	113,74
-5	0	34	-3	9	48	1	11	34,88
-5	-4	34	8	31	53	-2	19	8,59
-5	0	34	15	18	27	-2	11	233,41
-5	4	35	0	28	30	-2	3	-33,58
-5	-3	35	3	36	45	1	17	159,32
-5	-4	35	8	18	35	-3	19	264,51
-5	4	35	10	11	25	-1	3	53,83
-5	0	35	15	3	33	-3	11	141,85
-5	3	35	15	25	34	-1	5	113,6
-5	-3	36	-11	25	46	1	17	136,58
-5	-4	37	-12	6	52	1	19	69,03
-5	-5	37	-1	14	53	1	21	200,56
-5	2	37	1	22	25	1	7	193,93
-5	3	37	3	13	45	-3	5	101,64
-5	-3	37	8	25	51	0	17	112,01
-5	-2	37	9	4	49	-3	15	114,43
-5	-2	37	13	36	38	0	15	96,95
-5	4	38	-12	37	48	1	3	156,35
-5	-1	38	-7	26	41	0	13	41,13
-5	1	38	2	25	44	-2	9	85,03
-5	-4	38	8	30	29	-1	19	-11,55
-5	0	39	-2	-1	35	0	11	267,5
-5	0	39	5	0	24	-1	11	273,81
-5	0	39	7	19	33	-1	11	258,94
-5	4	39	14	0	38	1	3	256,13
-5	3	40	-5	1	51	1	5	213,62
-5	3	40	6	12	51	0	5	45,05
-5	4	40	8	24	46	1	3	129,99
-5	4	40	14	5	49	1	3	40,46
-5	-1	41	-11	20	42	-3	13	237,36
-5	-4	41	-7	16	45	-1	19	233,95
